,importance
type_id_a1,-5.814304265400547
result_id_a2,-4.68957819031435
type_id_a1,-1.4602196839250463
angle_zone_a0,-1.3547589732388825
type_id_a0,-1.3416019375940016
end_dist_to_goal_a1,-0.9761987336915564
bodypart_id_a0,-0.9631519418109887
result_id_a1,-0.7925009003471888
type_id_a1,-0.6901865865733489
result_id_a1,-0.5491010372461812
start_dist_to_goal_a0,-0.47991596064687586
angle_zone_a1,-0.4616336831461376
type_id_a2,-0.44797828319773203
dx_a01,-0.4332453595952583
bodypart_id_a1,-0.4199473106383252
angle_zone_a0,-0.4127174709846183
start_x_a2,-0.3946483922550303
type_id_a2,-0.39192400480345096
bodypart_id_a0,-0.37844999578271027
type_id_a2,-0.365908909437486
end_x_a1,-0.3656740815819327
start_dist_to_goal_a2,-0.35184349400141135
caley_zone_a0,-0.33650939333114505
caley_zone_a1,-0.3269171436465588
caley_zone_a0,-0.31840503133771675
type_id_a2,-0.3065570797844218
caley_zone_a2,-0.2998580714917042
caley_zone_a1,-0.29901806211681475
bodypart_id_a2,-0.292443716764432
caley_zone_a2,-0.2825350480846647
type_id_a2,-0.2598186743962508
type_id_a1,-0.25064839289505425
angle_zone_a1,-0.23407899298027213
caley_zone_a2,-0.22979823786956227
type_id_a1,-0.2156009161561872
caley_zone_a2,-0.21286988420302178
speedx_a02,-0.2118840772874663
angle_zone_a2,-0.20359147707406625
speed_a01,-0.14748549014706366
shot_angle_a2,-0.13559969905558614
type_id_a2,-0.12013588345994614
caley_zone_a2,-0.11984701114254644
speedy_a02,-0.11774425685410066
time_delta_2,-0.11676570680599588
caley_zone_a2,-0.11501790654601372
type_id_a2,-0.10466903099155689
caley_zone_a2,-0.09420995802665413
angle_zone_a1,-0.09215454542913393
angle_zone_a2,-0.07979828717309365
start_x_a0,-0.07731700762741105
angle_zone_a1,-0.06956323590739558
caley_zone_a2,-0.05807553622436768
dy_a01,-0.053473581078698346
type_id_a2,-0.05284576887658994
start_angle_to_goal_a2,-0.046409588150353516
start_angle_to_goal_a1,-0.03490296273742338
dy_a2,-0.03432459506582324
angle_zone_a0,-0.026972507609542
start_y_a1,-0.024826262615434993
caley_zone_a1,-0.02270261048645356
type_id_a2,-0.0009056420455800177
end_y_a1,0.0050444393139464985
bodypart_id_a2,0.019173071671818604
angle_zone_a1,0.022920920254638214
angle_zone_a1,0.025884457540269253
start_y_a0,0.026234544137543548
angle_zone_a2,0.026978534734652414
dy_a1,0.029384495514555308
caley_zone_a0,0.04430772695430681
start_angle_to_goal_a0,0.05821821612098148
end_angle_to_goal_a1,0.06501418614881006
type_id_a2,0.06620582828872498
speedy_a01,0.06733877791631324
caley_zone_a2,0.0706097159942158
shot_angle_a1,0.08052967165141195
speedx_a01,0.08892608574590127
caley_zone_a0,0.09417580148765423
movement_a1,0.1031795739148879
type_id_a1,0.12641254968394625
type_id_a2,0.1316064511609937
angle_zone_a0,0.14933031553568574
angle_zone_a0,0.18524403664124564
type_id_a1,0.18624240767473657
angle_zone_a0,0.26641125007230626
type_id_a1,0.2680234520356793
speed_a02,0.2944235941382689
type_id_a1,0.3199219702005014
time_delta_1,0.39914644073635064
type_id_a1,0.4441486417984802
type_id_a1,0.4569289879746165
type_id_a2,0.5388979358223468
caley_zone_a0,0.5485502936295835
shot_angle_a0,0.587740550937067
type_id_a1,0.6524000150750918
angle_zone_a2,0.8446183188681764
angle_zone_a2,0.891448153550039
caley_zone_a0,1.1784599402433777
caley_zone_a0,1.295399034617169
type_id_a2,1.7364110098622105
angle_zone_a0,3.06138792092925
